work_order_id,ac_model,aircraft_description,mel_detail_id,mel_code,mel_chapter_code,ata_chapter_code,issue_date,closing_date,estimated_groundtime_minutes,release_total_aircraft_hours,aircraft_position_issue,component_part_number,opco_code,workstep_text,action_text,parts_text
11779023,A320,EI-DEK AIRBUS A320-214,,,,May-00,3/24/2025,3/25/2025,0,3166669.0,,,EI,"WORKSTEPS DESCRIPTIONS:
2025-03-24: PERFORM CHECK: A320 RAMP CHECK (RAMP)
 -PERFORM CHECK: RAMP, A320 RAMP CHECK. INTERVAL: 24/HR IAW ALD431","ACTIONS:
- 2025-03-25 PERFORM CHECK: A320 RA
MP CHECK (RAMP)RAMP PERFORMED PER ALD431 (LATEST REVISION) & SIGNED IN ALD689.",
11595503,A21N,EI-LRC AIRBUS A321-253NX,,,,24-20,2/7/2025,3/2/2025,120,1104650.0,NO2ENG,1718205,EI,"WORKSTEPS DESCRIPTIONS:
2025-02-07: 
 -PERFORM ON PN:1718205 SN:AAPU001063 (IDG-INTEGRATED DRIVE GENERATOR). REPAIR (1718205 DISCARD FILTER + REPLENISH OIL). OW/MPD242000-24-1-SC. & CH. FLTR DIS. INSTALLED AT: NO2ENG(NO 2 ENGINE). INSTALLED IN PN:LEAP-1A33 SN:599293 (LEAP-ENGINE) (POS:NO2 ENG). (POS DESCR:NO 2 ENGINE). . DISCARD SCAVENGE AND CHARGE FILTERS, DRAIN AND REPLENISH OIL SYSTEM .. . NOTE: INTERVAL: . - IN ORDER TO AVOID RISK OF MULTIPLE IDG LOSSES, DO NOT PERFORM THIS TASK ON BOTH IDG AT THE SAME TIME. IT IS RECOMMENDED TO WAIT AT LEAST TWO FLIGHT. CYCLES BEFORE PERFORMING THIS TASK ON THE OTHER IDG . - REPLACE FILTER ELEMENTS, DRAIN IDG OIL AND REPLENISH AT 150 FH OR 1 MO AFTER AIRCRAFT ENTRY INTO SERVICE. THEREAFTER REFER TO INTERVAL. . - INTERVAL MAY BE ADJUSTED IN ACCORDANCE WITH SIL 236.","ACTIONS:
- 2025-03-02 ENGINE NUMBER 2 IDG FILTERS REPLACED AND IDG FILLED IAW AMM 24-21-51-400-810-A R112
- 2025-03-02 ENGINE NUMBER 2 FAN COWLS OPENED FOR MAINTENANCE IAW AMM 71-13-00 R112 . . ENGINE NUMBER 2 FAN COWLS CLOSED AFTER MAINTENANCE IAW AMM 71-13-00 R112 . . 1ST G,HOWARD 72127 11.56. 2ND MAHESH 75947 11.55 
- 2025-03-02 ENGINE NUMBER 2 FAN COWLS OPENED FOR MAINTENANCE IAW AMM 71-13-00 R112 . . ENGINE NUMBER 2 FAN COWLS CLOSED AFTER MAINTENANCE IAW AMM 71-13-00 R112 . . 1ST G,HOWARD 72127 11.56. 2ND MAHESH 75947 11.55 ",
11779477,A320,EI-DEK AIRBUS A320-214,,,,00-00,3/20/2025,3/20/2025,15,3164663.0,,,EI,"WORKSTEPS DESCRIPTIONS:
2025-03-20: MEL/FCOM SB STATUS SHEET
 -PLEASE REMOVE OLD FCOM MMEL SHEET FROM THE TECH LOG AND REPLACE WITH THE ONE ATTACHED TO THIS WORKORDER",,
9019243,A320,EI-DEM AIRBUS A320-214,,,,72-32,4/17/2025,,480,,NO2ENG,CFM56-5B4P,EI,"WORKSTEPS DESCRIPTIONS:
2025-04-17: 
 -PERFORM R320-72-2039 COMPONENT (REPEAT EO) REV. B. PARTNO : CFM56-5B4P / SERIALNO : 779749.          ENGINE CFM56.          POS: NO2ENG. . ON WING BORESCOPE INSPECTION OF METALLIC/HYBRID VSV SYSTEM. . REFERENCE: CFM56-5B-72-0921/SB (RV.03). . PLEASE ACCOMPLISH A BORESCOPE INSPECTION OF THE VSV SYSTEM AS FOLLOWS:. . PERFORM THE FOLLOWING TASKS AS PER THE ACCOMPLISHMENT INSTRUCTIONS OF SB 72-0921 REV 03:. . 1)	INSPECT THE FORWARD SIDE OF THE STG.2 AND STG.3 HPC VSV INNER SHROUDS PER ACCOMPLISHMENT INSTRUCTIONS 3. A.1. (A)-(E). NOTE: THIS INSPECTION IS REQUIRED ON ALL ENGINES.. . 2)	INSPECT FOR HONEYCOMB SEAL ROTATION PER ACCOMPLISHMENT INSTRUCTIONS 3. A.1. (F). (PLEASE NOTE ALL ENGINES ARE POST 72-0612 AND 72-0672).. . 3) ***PLEASE NOTE STEP 3 OF THIS EO IS ONLY REQUIRED FOR ENGINES WITH THE ""SLAB HEADED"" TYPE ANTI-ROTATION PIN I.E. POST 72-0678. MOD STATUS FOR THIS SB CAN BE CHECKED UNDER APN 63 IN AMOS AND ENTERING ""72-0678"" INTO ""DOCUMENT NO:"" AND THEN CLICKING ON THE ""STATUS"" TAB. IF MOD STATUS CANNOT BE DETERMINED, THE ROTATION PIN TYPE CAN BE DETERMINED BY VISUALLY CHECKING PER THE INSTRUCTIONS IN SB 72-0921.***. . . DO A CHECK FOR SLAB HEADED ANTI-ROTATION PIN ROTATION PER ACCOMPLISHMENT INSTRUCTIONS 3.A.1. (G).. . 4) REPORT ANY FINDINGS BACK TO POWERPLANT ENGINEERING WITH IMAGES VIA TAQ REFERENCING THE ESN.. . NOTE: NO EOIS IS ATTACHED FOR THIS INSPECTION",,
11650582,A21N,EI-LRC AIRBUS A321-253NX,,,,25-11,4/7/2025,,60,,,,EI,"WORKSTEPS DESCRIPTIONS:
2025-04-07: AIRWORTHINESS DIRECTIVE
 -MANDATORY: PERFORM S3XX-25-2025 (ONCE ONLY EO) REV. A. . AD > CREW HARNESS ROTARY BUCKLE ASSEMBLIES WITH PLASTIC HANDLES. INSPECTION / REPLACEMENT. REFERENCE: 2024-26-02/AD (RV.00) / 25-1111432/SB (RV.02). OBSERVING ALL SAFETY PRECAUTIONS PLEASE ACCOMPLISH PARKER MEGGITT SB 25-1111432 REV 002 DATED SEP 12/23 AND EOIS S3XX-25-2025 REV A TO INSPECT THE CREW RESTRAINT SYSTEMS ROTARY BUCKLES.",,"PARTS:
- 2025-03-06 1111475-03: BUCKLE || ata_chapter: 25-00
- 2025-03-06 1111475-01: BUCKLE || ata_chapter: 25-00"
11820130,A320,EI-DEN AIRBUS A320-214,,,,May-00,4/23/2025,4/24/2025,0,3212954.0,,,EI,"WORKSTEPS DESCRIPTIONS:
2025-04-23: PERFORM CHECK: A320 RAMP CHECK (RAMP)
 -PERFORM CHECK: RAMP, A320 RAMP CHECK. INTERVAL: 24/HR IAW ALD431","ACTIONS:
- 2025-04-23 RAMP COMPLETED IAW ALD 431",
9855775,A333,EI-GCF AIRBUS A330-302,,,,10-Nov,6/30/2025,,240,,,,EI,"WORKSTEPS DESCRIPTIONS:
2025-06-30: 
 -PERFORM R330-11-2003 (REPEAT EO) REV. C. . INSPECTION OF AIRCRAFT EXTERIOR DECALS - BELLY FAIRINGS. . REFERENCE: . OBSERVING ALL NECESSARY SAFETY PRECAUTIONS PLEASE ACCOMPLISH R330-11-2003 REV.C PER THE ATTACHED . EOIS R330-11-2003 ISSUE C.",,"PARTS:
- 2023-09-18 GRX250L021: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L054: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L056: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L021: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L046: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L045: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L053: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L048: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L047: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L053: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L058: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L045: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L058: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L051: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L056: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L054: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L052: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L048: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L046: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L047: PLACARD || ata_chapter: 11-00
- 2023-09-18 F1131158820000: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L052: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L051: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L057: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L057: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L995FAI: PLACARD || ata_chapter: 11-00
- 2023-09-18 GRX250L995FAI: PLACARD || ata_chapter: 11-00"
11332881,A20N,EI-NSF AIRBUS A320-251N,,,,25-65,2/26/2025,3/10/2025,30,101403.0,FWD,A12SA,EI,"WORKSTEPS DESCRIPTIONS:
2025-02-26: 
 -MEGAPHONE BATTERIES.UNIT DOES NOT HAVE TO BE REMOVED FROM THE. AIRCRAFT FOR THIS TASK.. DISCARD AND REPLACE BATTERIES IN MEGAPHONE P/N: A12SA, S/N: EIN097 (1 YEAR LIMIT). PER AMTOSS (A330)25-65-51-920-801 OR (A320/321) 25-65-51-920-001.. . AND CHECK OPERATION AFTER REPLACEMENT. INSTALLED AT POS: FWD (HIGHEST POS: FWD). FOR INFO: BATTERY CHANGE (BC). . *NOTE: PLEASE ENSURE A NEW EXPIRY DATE STICKER (ALD258) IS APPLIED TO THE OUTSIDE OF THE MEGAPHONE DETAILING THE ONE YEAR EXPIRY DATE OF THE REPLACEMENT BATTERIES"". *NOTE: NEW EXPIRY DATE TO BE RECORDED IN THE CLOSING ACTION FOR PLANNING.","ACTIONS:
- 2025-03-10 DISCARD AND REPLACE BATTERIES IN MEGAPHONE P/N: A12SA, S/N: EIN097, CARRIED OUT IAW AMM 25-65-51-920-001-A REV.112. . OPERATIONAL TEST OF THE MEGAPHONE CARRIED OUT IAW AMM 25-65-51-710-002-A REV.112. . ALD 258 INSTALLED. . NEW EXPIRY DATE: 10/03/2026",
11782442,A333,EI-EIK AIRBUS A330-302,,,,78-31,4/2/2025,,120,,4130KS1,683L247G04,EI,"WORKSTEPS DESCRIPTIONS:
2025-04-02: THRUST RV 33F-FIRE PROTECTION COAT-GVI-INSPECTION of KIT, FAN REVERSER
 -PERFORM ON PN:683L247G04 SN:R555-311 (KIT, FAN REVERSER, POS.1 L/H). INSPECTION (THRUST RV 33F-FIRE PROTECTION COAT-GVI). OW/MPD 783200-G7-1-FIRE PRT COAT-GVI. INSTALLED AT: 4130KS1(ADDED BY TRANSFER-PROGRAM). . FIRE PROTECTION COATING - GVI",,"PARTS:
- 2025-03-24 RTV106: SEALANT, 4.7 OZ TUBE || ata_chapter: 25-00"
6996203,A333,EI-FNG AIRBUS A330-302,,,,26-00,6/6/2025,,0,,3WE2,30903899,EI,"WORKSTEPS DESCRIPTIONS:

 -REPLACE PN:30903899 SN:0543UA (ENG FIRE BTL CARTRIDGE (10 YEAR TYPE). INSTALLED AT: 3WE2(UNDEFINED). INFO/TRIGGERED BY: 30903899/0543UA LL(LIFE LIMIT) RP/ MPD 262100-15-1 CARTRIDGE - DIS / 30903899 33F ENG FIRE EX CARTRIDGE",,"PARTS:
- 2016-09-02 30903899: ENG FIRE BTL CARTRIDGE (10 YEAR TYPE || ata_chapter: 26-00"
